,Brain Stem,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lobules VIII-X,Corpus Callosum,Optic Chiasm,Pons,Ventricular Lining,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,Accumbens Area,Amygdala,AnG angular gyrus,Basal Forebrain,CO central operculum,Calc calcarine cortex,Caudate,Cerebellum Exterior,Cerebellum White Matter,Cingulate White Matter,Claustrum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,Frontal White Matter,FuG fusiform gyrus,GRe gyrus rectus,Hippocampus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,Insula White Matter,LOrG lateral orbital gyrus,LiG lingual gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,Occipital White Matter,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,POrG posterior orbital gyrus,PP planum polare,PT planum temporale,Pallidum,Parietal White Matter,PoG postcentral gyrus,PrG precentral gyrus,Putamen,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TTG transverse temporal gyrus,Temporal White Matter,Thalamus Proper,TrIFG triangular part of the inferior frontal gyrus,Ventral DC,y
138,0.00010727778439612815,-4.150468272544382e-05,3.6968618438554344e-05,-5.219534566773261e-05,0.0009237311114354795,-2.0925316106510617e-06,0.00036992292468977263,-0.0002719278523006881,-0.0006777660600915895,2.0610667604538824e-05,0.0004422292922595711,-8.414583038009215e-05,0.00020531577297180524,4.0749556193230875e-05,-6.440744758029498e-05,0.00017350467303035768,-0.0005932550535752553,7.83561952277037e-05,-0.00026191347196128506,0.0004978562376533654,-0.0003006163815998811,-6.643451910909749e-05,-0.00026388096249200035,0.00011157730392561782,9.226220282593494e-05,0.00015720452229304386,0.0003885308772219459,-0.0006821759771280834,0.00019333048299776832,0.00021780351293561708,-0.00045165555076083063,0.0005475833141703537,-0.0010622544384269912,0.000548379859841065,0.0003182598836325252,0.0005533800146932419,-0.00019577703792258332,0.0032999166053927723,0.0003239826730601714,0.0002987892615401648,-0.00023987268173756402,9.111848375119714e-05,7.285579188441452e-05,0.0003960203920343082,0.001205865499397314,-0.00030007939505678803,-0.005023349454268447,0.0006534703593383262,0.0005765532258480009,-6.311568788923243e-05,0.0005817829369875408,9.189711504578981e-05,5.912128634702452e-05,0.0008920844847704664,0.0006360616149129748,0.0003041028336145022,0.0006312664811785897,-1.966007961347804e-05,-0.003595189987302967,-0.001012106087731478,0.0010562087882656623,-0.00010227028185735409,-0.00018558022173724648,0.000600283741557078,-0.00023216521581790597,0.0006200669144596216,-4.3450268028982254e-06,-0.000332678439247989,0.0009835437444171138,0.0007738691329803402,-0.0001653023088777929,-0.002787521722846645,-0.00013228245535552288,0.0002711553811493004,-0.00022360109959400007,1
139,-0.0001686136550933682,-0.0005186291278483461,3.5733817682901455e-06,-0.00011408952158767035,0.0004828895415000759,-3.988352182014701e-06,0.000497884061647285,8.759360234468971e-05,0.00026139512752381333,0.00021289558016669968,-0.0002427327208252368,-7.13147350577832e-05,-0.0006379860405238728,0.00023112347477296288,-9.957139269929844e-06,0.0003971364525331431,1.5584591488233736e-05,-0.0005805045035833436,-0.004082769875030541,0.0010700774879558346,0.0011786747820366535,-0.00031216361131394615,-0.0001705081867925829,-0.0010322718561535393,-1.267811881492623e-05,-0.0008721909432684889,0.0005462119804977503,-0.0016444244987644293,-0.0005708581806883498,-0.0004797113367831997,0.0011507508147945104,-0.0021483368067618048,0.00048662524164523255,-0.00023793751777225315,-0.0012558292284296883,0.000647767479204813,-0.0005629957316034052,0.0005345121449484864,0.0013499557152857932,-0.0011255645747968936,0.00028635733104656787,0.0005891034633252825,-0.00039575669835103773,-0.0016116385918834141,-0.00027078643585560364,-0.0002680971610916809,-0.0023427495722292413,0.0002623388657008825,-0.00021201874786363204,-0.0006903425577061946,-0.00015583579488202652,-0.0009827180192378403,-3.733649938477269e-05,0.00042257723493701596,2.9210174724627778e-05,-0.00015346718947243862,0.000425660868741333,-9.542296823682682e-05,-0.0007156211580416211,0.0015492057079620784,0.0034732341165265457,-0.0005039929178430672,-0.0001220794328441571,0.0004954411123774018,0.0005993654953491859,-0.0001350955411178285,0.00022896238234150967,0.00024009996111977808,-0.0006219163360186557,-0.003268652821536821,9.4459739394425e-05,-0.0029899027057264764,-0.00011361690506054905,0.0007366817371749412,3.477908942434724e-05,1
140,0.00038021759814679725,-3.3519692008636675e-05,0.000273919265907458,0.00023390217556848512,0.00305303617116324,-2.870405501273345e-05,0.0015106829936361848,-0.0003050772179337064,0.00010233286545952838,-0.0005138175749120075,0.00022955220381485914,6.26615733007782e-05,0.00011161073809547628,0.0016694692798317288,1.110475757193309e-05,-3.853860795885629e-05,-0.000780394571642347,1.9119327349602887e-06,0.01338900223548279,0.006077978525758362,0.00021587721726453292,-7.885419974887125e-06,-0.00035789448576957353,-0.0001493189193215185,-0.0005680296904422943,-0.0002938457179686787,0.00317715927461628,-0.0016384684287740307,0.00011404287546706556,0.0005351023212319356,4.560779540769156e-05,0.001518531498801285,0.0037073273743079317,7.954445730601854e-06,-0.001767801817216994,-0.0008542290022069713,-7.420394360052661e-05,0.0038907250448107777,0.0010503872407542684,-6.212394932831461e-06,-0.00016762704573691764,-0.00045473279321013083,-0.0014406033637117811,0.0007054475687536359,-0.0004930326348558,0.0002445083356507811,-0.002087265500636074,-0.0003575293923386122,-0.00034763150400239965,-0.0001682163555502109,0.00011962939350101259,-0.0002065746123266622,0.0003266823690525739,-0.000385336652573294,-0.00014683099297225534,0.0003531849479719647,0.00012024132137157919,0.0004985608493930534,-0.0031941666975201094,-0.002635649880958329,-0.0028227762103479005,0.0008711750730716248,-0.00011222437981267769,-0.0007718321981510876,-0.0005212779355992731,-0.0012066103347118011,-0.00021252735791766654,4.5405915102594493e-05,0.0009508004447027381,-0.0021889607865644384,0.00011182689246055054,-0.0005098064794559071,0.0017392426772691295,-0.0005319549123665489,0.0013963574137613264,1
141,-0.0002939767766304748,-2.154025054957546e-05,-6.894912969272358e-05,-0.0001837768371570341,-0.00238102226432468,9.302091730068284e-06,-0.0009414300120233502,-0.0006207105352433664,-0.00029963039482753216,0.0001747776221703262,-4.348093608263007e-06,-5.690874930098209e-05,9.81504534458247e-05,0.000747591551994442,-7.40917652022807e-05,0.00013751911913229258,-1.985845031792508e-05,-0.000342501475798126,-0.003470603065653905,-0.004057312111461167,-0.00019432713947705816,-0.00017084508310602812,0.0015339226709694038,0.00023298977097496103,0.0003157809475570427,7.711343494339984e-05,-0.005815167300349033,0.00011867489544500464,0.0001166246409557974,0.00010255490262192158,2.453168216007013e-05,-0.0010378335686544848,-0.0026568732770571105,-0.000160390984240439,0.001304504255112469,-0.0004940120190527393,9.458253488516324e-05,0.0006926850683625363,-0.0004471591289943611,0.00016830020326283422,5.295000434740358e-05,-0.0004384430015842882,0.0003505454442415401,-0.0019790194236677192,0.0006107270830511783,0.00043408345533314536,0.0017787944852465133,-0.00045266524047974754,-3.603582003553071e-05,0.00022966417908061153,0.0023684855150753366,5.2530312563321864e-05,4.6378282347492306e-05,0.0008122325144106592,-0.0002336778383384211,-0.00028715410925057774,0.0004126872707523612,-0.00046169593047227955,-0.00019257493488664124,0.00096261659553232,-0.0016748533075359442,-0.0009001311521296285,-0.00014853886735625223,0.00019849243906232272,0.0005612018405894551,-0.00027115998810383485,0.0007856223555999593,0.0010281258332344142,-0.0002748988538835489,-9.869528862201452e-07,0.00035398554483063343,-0.003533412868657451,-0.0008481998986262142,-0.00032545768093309585,-0.0007314788086311298,0
142,-5.7411667427112976e-05,0.00017616701942537632,0.00017081321488372097,3.337142343939198e-05,0.0003146280915752187,4.614222498380641e-06,-5.47127200562084e-05,0.00016541429813067988,-0.0008112301319861603,-0.00016433494613349135,8.935215385262119e-05,-1.2573738699400575e-05,0.0001896219039134485,0.0024809890792638267,2.566860776104154e-05,-0.0005753689084744573,0.0002686230706533759,0.0006508366857546377,0.0016183049113845313,-0.0013904250466385722,0.00014752991226464228,3.2033637977442464e-05,-0.0010317610374814194,0.00042993166884626737,-0.00038470564787787564,3.670852624467055e-05,-0.0047220838361271,0.0006430791802181125,0.00018939668345441816,7.524398789945366e-05,0.0014923928665203359,0.0009370634646511007,-0.0009002830645376651,-8.355139732323493e-05,0.00040510061158231195,0.00028576803087416915,-0.0004899725697770194,-0.002049853737756886,0.00040618316923228493,0.00016056557628377037,-7.641656410959242e-05,0.0002506970764702644,-0.00015983900374176487,0.0025352647078508376,0.0009692724533578356,0.0003371918062951042,-0.0022757503227225587,-0.0002750889397936207,-0.00021486961245929868,0.00011540425965884948,0.0004762358809019549,-8.906219219060587e-05,-9.98354428256847e-05,-0.0006670562417430363,-0.00040506324873267616,0.0003121392149994433,-0.00024275820793944912,3.957138756076686e-06,-0.0017251712424948273,-0.0003389509930339877,-0.0005548505890448988,3.192624422782182e-05,-0.00029612190731501304,-0.0003139578966344647,-0.0007300045676719037,-0.0001489489914234289,0.0003324303548196696,4.179514876818079e-05,0.001563491005069896,-0.00020855107275798406,-0.0004785474013159249,0.0031764631326594434,0.00047355286791319305,-0.001145821765884745,-0.000278169410132029,1
143,-0.0003258156783016485,-0.00019088045746556244,3.8127791277297153e-05,-0.000381744670744635,-0.0003166577800288086,-1.9703948231931923e-06,-0.0005255248058713847,0.001136799490812834,0.0014904853234151715,0.000163591871520295,0.00018716306792980497,9.824095959763994e-05,3.073122701836698e-05,-0.00019803185795292007,0.00011704953957094867,0.00027057580780649954,0.0006758633750583343,0.0010184148578416701,-0.00654751254171693,-0.003621922865357176,1.0795013335584015e-05,3.430995397022698e-05,7.18840717143167e-05,-0.00041739025694656007,0.0004613197275012814,0.0001198691828458681,0.008387228017081395,0.0003978902336108942,-0.00014599702757495093,-0.0005859340580212178,0.0006995142296788671,-0.0009995159819983874,0.001053190254211125,0.0004748282527869206,0.00030932664374087784,0.0002126987330313755,0.00015653640269528736,0.0009385857727998263,0.0008821999914634458,0.0002617139598477948,0.00022738053111387576,0.0006927047993961829,-7.096269985454751e-05,-0.0006055946085617957,0.0006955339879382212,0.0002612218272076516,-0.00020800274624328124,0.0010132180950643826,-1.1728291719513475e-05,-6.764786076079651e-05,0.0002532258282760061,-0.00030261919020819496,0.0001086835395326302,0.0003185474728612423,0.0005382191630979778,-0.00035464481350239727,0.0009764795690104214,0.0002892821088541328,-0.0008631119915544286,-0.0014858345117305218,-0.001177287054180352,0.00028695803685154647,0.00013413299161905805,0.0008680639373775667,0.0007469002743163465,-0.0012206138949225542,0.0007065934906592881,0.0012900467331604486,-0.0013815186098807388,-0.0013804396822081877,0.00046544911215842485,-0.0049996179202597135,-0.0005493678353516713,0.000866835688367186,0.00022444630444502876,1
144,-0.0001641871817541626,-2.7577326220341522e-05,-2.9690834562768687e-05,-0.00021640122238824645,-0.0012570616170738697,-8.396428562988353e-06,-0.0002914769242587977,6.090061297810839e-07,0.001382951197334649,0.00017205109551574624,7.660066378164946e-05,-2.4555463444978355e-05,-0.00012972789998851606,0.000704151809399374,-9.520718497678366e-05,0.001052128007796123,-0.00011200192300512115,-0.00032015804984740145,0.0015942862989348633,0.0019290558904821661,0.0004839997888105669,0.0002008833442536974,9.335886350935862e-05,9.25285280699629e-05,-0.00028035549786972736,8.079469564969488e-05,-0.005221431569838356,0.0003366728761431195,6.090071310295431e-05,-0.0004922242993610094,0.00041013457337860625,0.0013698438917032433,-0.0009152016727315814,6.743079419894147e-05,-0.00030371746641367353,0.00011138965342208547,0.00046217675651372353,0.0017019281464093674,0.0004807913900717921,1.984946346192699e-05,-0.00011474108464981067,-0.0001662645512828557,0.0008278859195501305,0.0008080444703845932,0.0002397721460737827,0.000470018843415897,-0.0012787253231676503,2.4321072251484634e-05,-5.009272727519304e-05,-0.0006126466982967044,-0.0003701101184001134,-0.00019230858143280422,0.0005164275547883763,0.00035841677932280385,2.636211811808155e-05,0.0003932228248222922,0.0003451086107891213,-0.00034093913792378823,-0.007078754191036714,0.0001576528874331221,-0.0005634780544109055,0.00011407473358183377,-4.9070315729902525e-05,0.00018266352801206073,0.0010929896580570164,-6.537481139052247e-05,0.00046282226646145825,-8.787926383467017e-06,0.0010771594199001375,-0.0004087673907175486,0.0005387382296179953,0.002547886588239283,-0.0001134765438450978,7.541092537344729e-05,-0.00010567180214938847,1
145,0.00047868558823889375,-0.00022422687597236984,-2.0725102908911944e-05,-9.497705674432343e-05,-0.00019998937400262685,-2.8186413908585822e-06,0.0007412081088663588,0.0005958324916694509,-0.00046670225421322625,-0.0005265944374045265,-0.0003417322757828629,1.133920522790495e-05,-1.6525461952439282e-05,0.0006695793631395332,7.892911725058212e-05,0.0007630480065324847,0.000687352550940142,-0.00020265137423533964,-0.0019518304954028592,0.003036830236195869,0.00030838842218439914,0.0001127691603711083,-0.0003294581068969669,-5.057676389563326e-05,-0.00040138546310398765,-0.0009930564232366779,-0.004602520920661067,-0.0016294244626516678,-0.00046287657111259957,-9.786208557718487e-05,-0.00011360771917473186,-0.001027174781097942,0.0024529918583288644,-0.00014848647398847063,-0.0006975738252228674,-8.617123966287582e-05,-0.0005247227041440038,0.001290984296857648,0.0007362697837605555,-0.0005968726836091546,0.00016564563501034662,0.00023948464602512303,5.960043540297142e-05,0.0008609724714950719,0.0003680817021303603,-7.53093611885209e-06,-0.001585709597957825,0.0004244806247899013,0.0003595959062777478,0.000274367470143754,0.0006289796620941278,-0.00038122371445711584,-8.516566798363857e-05,6.59462860863587e-05,0.0003932816475705973,-8.417986694015051e-05,2.7700476151019515e-05,0.0003875223259751533,-0.005575305545190409,0.002107366693342919,0.0019434273484218861,0.0001375753038590482,-2.2931635457008968e-05,-0.0014493445751552238,0.0007232439210814218,0.0002972280319246366,0.00043250504005097655,0.001735256880465423,-0.0011629999609206504,-0.0005727955386461625,-3.9616822468314396e-05,-0.0009977463155191914,0.00027717502855864,0.0004515039264193924,0.00031504364554469505,0
146,-0.00048085993521727963,-0.0003556154179390038,-9.189746342292641e-05,-0.00013413159977987118,0.002572730335057569,2.036179780704263e-05,-0.00046355383331249476,0.003906467612474991,0.0004654819648768544,-0.00026705662685300776,-0.00030627458206675074,8.572498554089653e-06,-0.00042912593467140747,0.0002022367687642525,-2.9476280353251533e-05,-2.9844186126184568e-05,-0.00017190889363033544,-0.000274657261384838,-0.009258547505015514,0.002080823743043027,-0.000484730697454062,-0.000708011233618182,0.0011066890869098202,-0.0007158934960116829,-0.00017644640714121237,-0.0003612920147869703,-0.00507672536692582,-0.002054211324351474,0.00028286978462505833,-0.0006103765042333258,0.001260770389408812,-0.0030919898624034194,0.0012488939105044627,0.00041729932255935606,-0.0014612501741547088,0.00021163477923450942,0.0003134602479976738,0.0001847673197959681,0.0010640090809107047,-4.336912276379666e-05,3.094355296071071e-05,-0.00016109501619217714,-0.0005233529021545697,-0.0014145941362391154,0.0006425929801101896,-0.0006282883010257363,0.0005797734907811505,0.00027464147762016906,8.773256647202844e-06,-0.0002888055863247106,0.0005370470569385655,-0.00028368363512838203,2.6334704636712296e-05,-4.23997462976266e-05,-6.813875876634785e-05,-5.1730249780540484e-05,-0.00018828392260259287,-0.00019646931320984337,-0.007463599922264294,0.0009891469510766764,-0.0001795973045741828,-0.0004709707299588926,0.00044746978820890985,-0.0005966735502271163,0.001064338043614694,-0.0013370585633930947,0.0008089627974244688,0.00042747942404535756,-0.001008143318624177,-0.002246315120252749,-0.0001920177610394649,-0.0030024338612611168,-0.0003282292214816496,-4.644504419604092e-05,-0.00038154701549913744,0
